"Journey","Train ID","Lateness (mins)"
"19:02 from London Victoria C to Portsmouth Harbour (21:03)","X07861","8"
"19:03 from Brighton to Portsmouth Harbour (20:26)","X09178","7"
"19:06 from Haywards Heath to Eastbourne (19:46)","X07984","5"
"19:10 from Brighton to Seaford (19:47)","X07098","6"
"19:10 from Littlehampton to Bognor Regis (19:29)","X09253","8"
"19:12 from Portsmouth Harbour to Littlehampton (20:02)","X09418","15"
"19:20 from London Bridge C to Tattenham Corner (20:10)","X08215","15"
"19:27 from London Bridge C to Horsham (20:40)","X08402","5"
"19:29 from Brighton to Southampton Central (21:19)","X08186","5"
"19:32 from Horsham to Bognor Regis (20:17)","X08327","12"
"19:33 from Bognor Regis to Barnham (19:40)","X08907","8"
"19:40 from Bognor Regis to London Victoria C (21:27)","X08130","6"
"19:40 from Brighton to Seaford (20:14)","X08797","5"
"19:40 from London Victoria C to Victoria C.H.S. (19:42)","X06918",""
"19:50 from London Victoria C to Brighton (20:47)","X07728","11"
"19:52 from Bognor Regis to Bognor Sidings (20:01)","X09485",""
"19:53 from London Victoria C to East Grinstead (20:48)","X09107","9"
"19:54 from Caterham to London Victoria C (20:46)","X09268","5"
"19:59 from London Bridge C to Caterham (20:54)","X09444","7"
"19:59 from Portsmouth  Southsea to Littlehampton (20:53)","X09958","5"
"20:03 from Horsham to Bognor Regis (20:44)","X08313","10"
"20:08 from London Bridge C to Uckfield (21:21)","X07934","9"
"20:10 from Littlehampton to Bognor Regis (20:29)","X09255","5"
"20:19 from Tattenham Corner to London Bridge C (21:12)","X08067","16"
"20:20 from London Bridge C to Tattenham Corner (21:10)","X08217","5"
"20:25 from Caterham to London Victoria C (21:16)","X09269","7"
"20:27 from London Bridge C to Horsham (21:40)","X08341","7"
"20:32 from London Victoria C to Southampton Central (23:01)","X08140","9"
"20:32 from Southampton Central to Brighton (22:21)","X08176","7"
"20:33 from Ashford International to Brighton (22:20)","X08048","5"
"20:33 from Horsham to Bognor Regis (21:17)","X08301","37"
"20:40 from Bognor Regis to London Victoria C (22:27)","X08134","5"
"20:40 from Portsmouth Harbour to Littlehampton (21:36)","X09415","10"
"20:45 from Littlehampton to Horsham (21:17)","X09490","9"
"20:53 from London Victoria C to East Grinstead (21:48)","X09112","16"
"21:02 from London Victoria C to Horsham (21:59)","X07848","14"
"21:03 from Brighton to Portsmouth Harbour (22:26)","X09183","6"
"21:03 from Horsham to Bognor Regis (21:46)","X08314","18"
"21:09 from Redhill to Tonbridge (21:39)","X08435","5"
"21:13 from Southampton Central to Brighton (23:18)","X09025","6"
"21:20 from Horsham to London Victoria C (22:20)","X07827","9"
"21:29 from Bognor Regis to Bognor Sidings (21:38)","X09475",""
"21:33 from Horsham to Bognor Regis (22:17)","X08316","15"
"21:40 from Brighton to Seaford (22:14)","X07102","5"
"21:50 from London Victoria C to Brighton (22:47)","X07746","5"
"21:52 from Littlehampton to Brighton (22:41)","X08562","5"
"22:00 from Bognor Regis to Barnham (22:06)","X08922","7"
"22:09 from Redhill to Tonbridge (22:39)","X08439","5"
"22:13 from Tonbridge to Redhill (22:44)","X08440","15"
"22:30 from Bognor Regis to Littlehampton (22:46)","X09259","5"
"22:44 from London Bridge C to London Victoria C (23:39)","X08758","5"
"23:03 from Redhill to Tonbridge (23:33)","X08441","6"
"23:38 from Tonbridge to Tonbridge Jubilee Sidings (23:40)","X09532",""

"Copyright 2015 raildar.co.uk. Usage under terms of licence, visit site for more details. Data provided AS IS without warranty."
