"Journey","Train ID","Lateness (mins)"
"22:20 from Horsham to London Victoria C (23:21)","X26649","30"
"22:20 from London Victoria C to Brighton (23:20)","X26474","5"
"22:24 from Sutton Surrey to London Victoria C (23:06)","X29499","7"
"22:43 from East Croydon to London Bridge C (22:57)","X30839","12"
"22:45 from Barnham to Bognor Sidings (23:47)","X30597",""
"22:49 from Epsom to London Victoria C (23:32)","X27989","5"
"22:54 from Sutton Surrey to London Victoria C (23:35)","X29511","5"
"22:57 from East Grinstead to London Victoria C (23:43)","X27210","6"
"22:59 from Eastbourne to Eastbourne Sidings (23:40)","X30478",""

"Copyright 2015 raildar.co.uk. Usage under terms of licence, visit site for more details. Data provided AS IS without warranty."
